,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
190,Havre-Saint-Pierre,75,CA,1554322200,100,50.23,-63.6,28.4,12.75
191,Pevek,0,RU,1554326149,65,69.7,170.27,17.01,1.7
192,Ous,0,RU,1554326150,81,60.91,61.52,21.87,4.94
193,Port Lincoln,12,AU,1554326152,93,-34.72,135.86,64.98,10.31
194,Adrar,40,DZ,1554321600,24,27.87,-0.29,80.6,19.46
195,Nishihara,75,JP,1554326105,45,35.74,139.53,45.0,4.7
196,Honiara,48,SB,1554326155,97,-9.43,159.96,77.13,2.71
197,Salalah,0,OM,1554321000,69,17.01,54.1,80.6,2.24
198,Ambilobe,20,MG,1554326158,95,-13.19,49.05,72.0,3.27
199,Ancud,90,CL,1554321600,100,-41.87,-73.83,50.0,19.46
200,Kamenka,80,RU,1554326160,88,53.19,44.05,31.95,15.23
201,Vila Franca do Campo,40,PT,1554325943,76,37.72,-25.43,57.2,8.05
202,Dymer,0,UA,1554323400,47,50.78,30.31,33.8,4.94
203,Ghanzi,0,BW,1554326164,44,-21.7,21.65,68.13,7.74
204,Guantanamo,75,BO,1554321600,74,-16.14,-62.05,84.2,9.17
205,Touros,75,BR,1554321600,88,-5.2,-35.46,80.6,4.7
206,Marabba,0,SD,1554326167,32,12.35,32.18,67.41,4.16
207,Muroto,0,JP,1554326168,100,33.37,134.14,39.78,4.94
208,Fare,20,PF,1554326169,98,-16.7,-151.02,84.69,9.64
209,Dhilwan,0,IN,1554326171,80,30.78,76.19,67.68,2.82
210,Huntington,20,US,1554326159,16,40.87,-73.43,66.99,19.46
211,Turangi,32,NZ,1554326173,100,-39.0,175.93,50.58,3.71
212,San Pedro,0,AR,1554326175,63,-33.68,-59.66,75.87,4.94
213,Sobolevo,76,RU,1554326177,66,54.43,31.9,36.54,4.61
214,Kavaratti,64,IN,1554326178,100,10.57,72.64,84.06,2.59
215,Santa Maria da Vitoria,64,BR,1554326179,54,-13.39,-44.19,83.52,2.71
216,Severo-Kurilsk,88,RU,1554326180,97,50.68,156.12,33.03,6.85
217,Mogocha,48,RU,1554326182,65,53.73,119.76,21.96,4.16
218,Bom Jesus do Itabapoana,68,BR,1554326183,90,-21.13,-41.68,71.73,2.93
219,Umm Kaddadah,0,SD,1554326184,15,13.6,26.69,71.46,11.21
220,Praia da Vitoria,75,PT,1554326168,76,38.73,-27.07,57.2,20.49
221,Hambantota,0,LK,1554326186,100,6.12,81.12,80.19,3.6
222,Bachaquero,20,VE,1554326188,67,9.96,-71.12,88.56,4.94
223,Ugoofaaru,88,MV,1554326189,100,5.67,73.0,84.42,1.81
224,Key West,1,US,1554325996,91,47.93,-96.78,37.99,7.29
225,Katherine,32,AU,1554323400,73,-14.47,132.26,77.0,8.05
226,Nome,90,US,1554326162,52,30.04,-94.42,71.01,11.41
227,Madang,92,PG,1554326194,100,-5.21,145.81,72.99,1.59
228,Torbay,90,CA,1554326119,64,47.66,-52.73,33.8,19.46
229,Sovetsk,0,RU,1554326196,55,55.08,21.89,42.84,16.91
230,Kihei,20,US,1554326165,73,20.76,-156.45,80.6,16.11
231,Kadoma,0,ZW,1554326198,55,-18.34,29.91,67.5,13.0
232,Turukhansk,80,RU,1554326199,93,65.8,87.96,19.35,6.62
233,Ixtapa,5,MX,1554326121,78,20.71,-105.21,80.01,16.11
234,Boyolangu,32,ID,1554326202,92,-8.09,111.9,69.3,3.27
235,Tazovskiy,76,RU,1554326203,87,67.47,78.7,20.07,11.65
236,Tuatapere,92,NZ,1554325807,88,-46.13,167.69,51.01,14.56
237,Uniontown,1,US,1554325953,21,39.9,-79.72,61.0,11.41
238,San Quintin,36,PH,1554326206,87,17.54,120.52,69.03,3.38
239,Senador Jose Porfirio,68,BR,1554326208,79,-2.59,-51.95,82.98,6.17
240,Obera,76,AR,1554326209,77,-27.49,-55.12,79.47,2.37
241,Paoua,0,CF,1554326210,63,7.24,16.43,75.15,3.71
242,Spittal,92,GB,1554326208,93,55.76,-1.99,41.0,17.22
243,Homer,1,US,1554326210,70,59.64,-151.54,45.0,4.7
244,Codrington,40,AU,1554326008,93,-28.95,153.24,62.6,5.17
245,Ribeira Grande,40,PT,1554325200,62,38.52,-28.7,57.2,2.24
246,Bantou,92,CN,1554326216,98,26.22,117.49,55.35,2.15
247,Usinsk,88,RU,1554326217,96,66.0,57.56,32.4,8.19
248,Kanashevo,75,RU,1554326104,80,55.21,62.07,33.8,8.95
249,Maine-Soroa,0,NE,1554326220,20,13.21,12.02,79.2,8.19
250,Rabo de Peixe,40,PT,1554326183,76,37.8,-25.58,57.2,8.05
251,Karaton,40,ID,1554326174,83,-6.34,106.1,84.99,1.12
252,Yar-Sale,0,RU,1554326223,64,66.83,70.83,11.16,5.28
253,Buluang,20,PH,1554321600,83,10.47,123.98,75.2,4.7
254,Barrow,0,AR,1554326041,36,-38.31,-60.23,72.45,12.77
255,San Gabriel,75,US,1554326218,52,34.1,-118.11,69.01,8.05
256,Havoysund,75,NO,1554324600,86,71.0,24.66,30.2,8.05
257,Jalu,0,LY,1554326229,47,29.03,21.55,62.28,6.96
258,Shubarkuduk,92,KZ,1554326231,97,49.15,56.49,42.3,18.25
259,Tselina,8,RU,1554326232,92,46.53,41.03,35.28,8.63
260,Noumea,68,NC,1554325893,83,-22.28,166.46,75.2,4.7
261,Abu Dhabi,0,AE,1554321600,42,24.47,54.37,82.4,8.05
262,Hami,0,CN,1554326235,53,42.84,93.51,47.07,4.16
263,Aromashevo,88,RU,1554326236,90,56.86,68.64,31.32,10.42
264,Lorengau,64,PG,1554326238,100,-2.02,147.27,80.82,8.75
265,Glazov,0,RU,1554326239,76,58.14,52.65,20.52,8.97
266,Caucaia,75,BR,1554325687,78,-3.73,-38.66,81.0,5.82
267,Contamana,12,PE,1554326241,73,-7.35,-75.01,86.58,2.48
268,Rawson,92,AR,1554326243,27,-43.3,-65.11,69.75,14.79
269,Luwuk,80,ID,1554326244,100,-0.95,122.79,77.85,2.59
270,Conceicao do Araguaia,0,BR,1554326245,84,-8.26,-49.26,84.6,2.93
271,Cruzeiro do Sul,75,BR,1554321600,94,-7.63,-72.67,80.6,1.59
272,Mamallapuram,0,IN,1554323400,79,12.63,80.17,84.2,5.82
273,Manadhoo,32,MV,1554326249,100,5.77,73.38,81.0,2.71
274,Nizhniy Tsasuchey,8,RU,1554326250,36,50.52,115.13,28.98,22.73
275,Gornyy,92,RU,1554326251,93,51.76,48.54,34.29,14.45
276,Coihaique,40,CL,1554321600,54,-45.58,-72.07,57.2,10.29
277,Tignere,64,CM,1554326253,37,7.37,12.65,79.65,4.83
278,Pokhara,76,NP,1554326242,64,28.21,83.99,51.66,3.04
279,Port Hardy,90,CA,1554321600,81,50.7,-127.42,50.0,4.7
280,Lydenburg,12,ZA,1554326144,96,-25.1,30.46,66.99,1.59
281,Qaqortoq,20,GL,1554324600,58,60.72,-46.03,28.4,13.87
282,Dali,44,CN,1554326259,100,25.6,100.24,42.48,2.15
283,Rabat,40,MA,1554325267,82,34.02,-6.83,61.0,1.12
284,Salinas,75,US,1554326104,71,36.67,-121.66,64.0,10.29
285,Pangody,12,RU,1554326263,75,65.85,74.49,15.12,9.42
286,Acajutla,32,SV,1554325855,71,13.59,-89.83,84.99,3.0
287,Sitka,80,US,1554326198,48,37.17,-99.65,66.99,15.01
288,Alta Floresta,75,BR,1554321600,100,-9.87,-56.08,77.0,3.36
289,Pocone,36,BR,1554326268,77,-16.26,-56.62,84.69,4.05
290,San Carlos de Bariloche,75,AR,1554321600,81,-41.13,-71.31,46.4,20.8
291,Adelaide,0,AU,1554326110,28,-34.93,138.6,72.0,11.41
292,Macheng,48,CN,1554326271,83,31.18,115.03,46.17,2.48
293,Ottumwa,90,US,1554326262,57,41.02,-92.41,55.4,11.41
294,Alenquer,75,BR,1554321600,88,-1.95,-54.74,82.4,7.96
295,Ilulissat,75,GL,1554324600,85,69.22,-51.1,17.6,16.11
296,Dakar,0,SN,1554323400,77,14.69,-17.45,69.8,24.16
297,Trinidad,20,UY,1554321600,54,-33.52,-56.9,78.8,4.7
298,Kijabe,20,KE,1554326208,68,-0.95,36.6,71.6,11.41
299,Boundiali,64,CI,1554326279,65,9.53,-6.48,81.81,7.18
300,Halifax,90,CA,1554325925,100,44.65,-63.58,48.2,23.04
301,Marshall,40,US,1554326012,38,39.39,-87.69,63.0,5.82
302,Yining,76,CN,1554326283,95,29.04,114.56,48.06,2.15
303,Verkh-Chebula,76,RU,1554326284,62,56.03,87.61,27.63,5.17
304,Esperance,20,TT,1554326142,65,10.24,-61.45,82.4,13.87
305,Iralaya,40,HN,1554321600,66,15.0,-83.23,87.8,5.82
306,Balkanabat,0,TM,1554326288,84,39.51,54.36,43.02,4.16
307,Rocha,0,UY,1554326289,68,-34.48,-54.34,68.85,5.95
308,Bucerias,5,MX,1554326121,78,20.76,-105.33,80.01,16.11
309,Dudinka,68,RU,1554326042,92,69.41,86.18,18.72,8.19
310,Khasan,0,RU,1554326292,73,42.43,130.64,39.78,7.29
311,Dapaong,0,TG,1554326171,43,10.86,0.2,85.95,3.49
312,Bud,0,NO,1554326163,74,62.91,6.91,41.0,9.17
313,Acapulco,5,MX,1554324180,70,16.86,-99.88,86.0,5.82
314,Sur,0,OM,1554326297,79,22.57,59.53,80.55,5.17
315,Shimoda,0,JP,1554326111,61,34.7,138.93,39.0,16.24
316,Bereda,40,ES,1554326210,75,43.27,-7.54,50.0,4.7
317,Samarai,80,PG,1554326300,100,-10.62,150.67,77.94,6.73
318,Berezniki,0,RU,1554326111,50,59.41,56.8,19.0,2.71
319,Manono,44,CD,1554326303,94,-7.3,27.4,71.82,2.37
320,Gobabis,20,NA,1554326304,78,-22.45,18.97,62.55,9.19
321,Salamanca,0,ES,1554323400,52,40.97,-5.66,41.0,10.29
322,Ambon,0,FR,1554326301,86,47.55,-2.56,43.0,5.82
323,Jamsa,0,FI,1554326274,64,61.86,25.19,36.0,6.93
324,Sawtell,0,AU,1554326305,93,-30.38,153.1,60.8,4.7
325,Itaituba,75,BR,1554321600,83,-4.26,-55.99,82.4,2.15
326,Atasu,0,KZ,1554326311,87,48.68,71.64,44.46,9.08
327,Lata,0,IN,1554326312,78,30.78,78.62,48.24,2.37
328,San Andres,0,PH,1554326314,100,13.32,122.68,80.55,11.99
329,Lakes Entrance,80,AU,1554326125,85,-37.88,147.99,57.99,2.48
330,Pingliang,0,CN,1554326316,84,35.54,106.68,35.19,2.59
331,Monywa,0,MM,1554326317,82,22.12,95.13,70.56,7.96
332,Gamba,12,CN,1554326318,46,28.28,88.52,-2.53,4.94
333,Teya,75,MX,1554326167,30,21.05,-89.07,96.01,13.87
334,Auki,0,NG,1554326321,21,12.18,6.51,79.47,7.96
335,Anadyr,0,RU,1554325950,78,64.73,177.51,17.01,2.24
336,Mudon,0,MM,1554326323,89,16.26,97.73,72.99,2.59
337,Sao Joao da Barra,20,BR,1554321600,65,-21.64,-41.05,82.4,11.41
338,Necochea,0,AR,1554326290,15,-38.55,-58.74,73.99,5.01
339,Klaksvik,92,FO,1554324600,74,62.23,-6.59,37.4,4.7
340,Isoka,24,ZM,1554326328,91,-10.15,32.64,64.35,4.83
341,Farrukhnagar,0,IN,1554325208,41,28.45,76.82,87.01,2.71
342,Sioux Lookout,75,CA,1554321600,45,50.1,-91.92,24.8,11.41
343,Stromness,1,CA,1554326323,48,42.87,-79.55,46.0,17.22
344,Mitu,32,IR,1554326333,91,36.2,46.09,29.16,2.26
345,Timberlake,75,US,1554326287,43,32.26,-81.31,73.4,11.41
346,Hwange,0,ZW,1554326335,46,-18.35,26.5,67.23,5.39
347,Moree,0,AU,1554325298,72,-29.46,149.84,62.01,8.05
348,Austin,90,US,1554326047,64,30.27,-97.74,70.0,9.17
349,Sandviken,24,SE,1554326226,59,60.62,16.77,37.99,5.73
350,Caravelas,12,BR,1554326340,100,-17.73,-39.27,81.27,9.42
351,Baoding,0,CN,1554326341,64,38.86,115.49,38.52,4.72
352,Kalmunai,0,LK,1554326342,100,7.42,81.82,70.92,3.38
353,Ocosingo,0,MX,1554326343,41,16.91,-92.09,81.99,3.27
354,Bukama,44,CD,1554326345,77,-9.2,25.85,74.88,3.71
355,Ayame,8,CI,1554326346,84,5.61,-3.16,80.64,7.18
356,Kruisfontein,76,ZA,1554326347,79,-34.0,24.73,60.66,7.4
357,Sivaki,0,RU,1554326348,65,52.63,126.75,11.97,3.49
358,Alice Springs,0,AU,1554323400,30,-23.7,133.88,53.6,5.82
359,Kichera,76,RU,1554326351,70,55.93,110.1,18.81,3.83
360,Ternate,20,PH,1554326187,57,14.29,120.72,80.6,4.7
361,Morro Bay,90,US,1554326067,63,35.37,-120.85,66.0,8.05
362,Stettler,24,CA,1554326104,50,52.32,-112.71,51.01,3.0
363,Ibra,8,OM,1554326355,47,22.69,58.55,65.97,1.7
364,Zyryanka,0,RU,1554326356,68,65.73,150.89,11.88,5.17
365,Pisco,0,PE,1554321600,30,-13.71,-76.2,71.6,19.46
366,College,20,US,1554326178,32,64.86,-147.8,30.99,14.99
367,Saurimo,8,AO,1554326360,92,-9.66,20.4,68.22,3.49
368,Baker City,1,US,1554326180,44,44.77,-117.83,60.8,4.7
369,Kiunga,56,PG,1554326362,97,-6.12,141.3,72.81,2.37
370,Maningrida,80,AU,1554326363,96,-12.05,134.23,79.83,19.37
371,Petropavlovsk-Kamchatskiy,92,RU,1554323400,60,53.05,158.65,39.2,6.71
372,Te Anau,76,NZ,1554326366,81,-45.41,167.72,49.05,6.62
373,Chunhuhub,32,MX,1554326367,55,19.59,-88.59,86.85,5.39
